token_num,term_str,n,num,stop,p_stem
9647,coaching,108,0,0,coach
9648,coachingall,1,0,0,coachingal
9649,coachup,1,0,0,coachup
9650,coadvantage,3,0,0,coadvantag
9651,coagulation,2,0,0,coagul
9652,coagulopathy,1,0,0,coagulopathi
9653,coal,19,0,0,coal
9654,coalesce,1,0,0,coalesc
9655,coalition,13,0,0,coalit
9656,coalitions,3,0,0,coalit
9657,coarse,1,0,0,coars
9658,coast,82,0,0,coast
9659,coastal,19,0,0,coastal
9660,coastals,1,0,0,coastal
9661,coastland,1,0,0,coastland
9662,coasts,4,0,0,coast
9663,coasttocoast,8,0,0,coasttocoast
9664,coastwise,2,0,0,coastwis
9665,coat,4,0,0,coat
9666,coated,3,0,0,coat
9667,coating,16,0,0,coat
9668,coatingpainting,1,0,0,coatingpaint
9669,coatings,21,0,0,coat
9670,coats,1,0,0,coat
9671,coatweight,1,0,0,coatweight
9672,coax,2,0,0,coax
9673,coaxial,2,0,0,coaxial
9674,cobb,2,0,0,cobb
9675,cobble,1,0,0,cobbl
9676,cobra,4,0,0,cobra
9677,cobraflex,1,0,0,cobraflex
9678,cobranding,2,0,0,cobrand
9679,cobras,2,0,0,cobra
9680,cocacola,3,0,0,cocacola
9681,coceos,1,0,0,coceo
9682,cochair,2,0,0,cochair
9683,cock,1,0,0,cock
9684,cockpit,2,0,0,cockpit
9685,cocks,4,0,0,cock
9686,cocktail,44,0,0,cocktail
9687,cocktails,39,0,0,cocktail
9688,coco,4,0,0,coco
9689,coco5,2,0,0,coco5
9690,cocoa,5,0,0,cocoa
9691,cocoaan,1,0,0,cocoaan
9692,coconut,18,0,0,coconut
9693,coconutbased,1,0,0,coconutbas
9694,coconuts,1,0,0,coconut
9695,cocounsel,1,0,0,cocounsel
9696,cocreate,1,0,0,cocreat
9697,cocreated,1,0,0,cocreat
9698,cocreativity,1,0,0,cocr
9699,cocreator,1,0,0,cocreat
9700,coctos,1,0,0,cocto
9701,cod,1,0,0,cod
9702,code,106,0,0,code
9703,codebases,1,0,0,codebas
9704,codec,2,0,0,codec
9705,codecademy,3,0,0,codecademi
9706,codecademys,1,0,0,codecademi
9707,codecollaboration,1,0,0,codecollabor
9708,codecraft,1,0,0,codecraft
9709,codecs,1,0,0,codec
9710,codeeval,1,0,0,codeev
9711,codelicious,3,0,0,codelici
9712,codemantra,2,0,0,codemantra
9713,codename,1,0,0,codenam
9714,codenamed,1,0,0,codenam
9715,codepowered,1,0,0,codepow
9716,coder,1,0,0,coder
9717,codered,2,0,0,coder
9718,coderow,1,0,0,coderow
9719,coders,3,0,0,coder
9720,codes,13,0,0,code
9721,codesmart,1,0,0,codesmart
9722,codevelopers,1,0,0,codevelop
9723,codevelopment,1,0,0,codevelop
9724,codevelops,1,0,0,codevelop
9725,codie,4,0,0,codi
9726,codifies,1,0,0,codifi
9727,codifying,1,0,0,codifi
9728,coding,36,0,0,code
9729,codingartificial,1,0,0,codingartifici
9730,coedition,2,0,0,coedit
9731,coeducational,2,0,0,coeduc
9732,coemployer,1,0,0,coemploy
9733,coemployment,2,0,0,coemploy
9734,coexist,4,0,0,coexist
9735,cofe,1,0,0,cofe
9736,coffee,147,0,0,coffe
9737,coffeedeprived,1,0,0,coffeedepriv
9738,coffeehouses,1,0,0,coffeehous
9739,coffeeon,1,0,0,coffeeon
9740,coffees,6,0,0,coffe
