Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook,CB Rank (Organization)
Outschool,https://www.crunchbase.com/organization/outschool,https://outschool.com/,"Children, E-Learning, EdTech, Education, Information Technology, Marketplace","Commerce and Shopping, Community and Lifestyle, Education, Information Technology, Software","Outschool is a marketplace of live online classes for kids that connects learners, parents, and teachers together.","Outschool connects motivated learners, parents, and teachers together to create great learning experiences. Their mission is to build the biggest and best global school by offering unique online classes from hundreds of independent teachers. Outschool teachers may be certified teachers, artists, scientists, or other adults with expertise or interest in teaching. It was founded in 2015 and is based in San Francisco, California.",https://www.linkedin.com/company/outschool/,,https://twitter.com/outschool,https://www.facebook.com/outschool/,"1,397"
Yale University,https://www.crunchbase.com/organization/yale-university,https://www.yale.edu/,"Association, Business Development, Education, Medical, Social Entrepreneurship","Community and Lifestyle, Education, Health Care, Other, Professional Services",Yale University is an American private Ivy League research university in New Haven in Connecticut.,"Yale University comprises three major academic components: Yale College (the undergraduate program), the Graduate School of Arts and Sciences, and the professional schools. In addition, Yale encompasses a wide array of centers and programs, libraries, museums, and administrative support offices. Approximately 11,250 students attend Yale. watch ant-man and the wasp online free HD",https://www.linkedin.com/school/yale-university/,,https://twitter.com/yale,https://www.facebook.com/YaleUniversity,"1,467"
Quizlet,https://www.crunchbase.com/organization/quizlet,https://quizlet.com,"EdTech, Education, Internet, Knowledge Management","Administrative Services, Education, Internet Services, Other, Software",Quizlet is a learning platform that uses activities and games to help students practice and master what they’re learning.,"Quizlet is a learning platform that uses activities and games to help students practice and master what they’re learning. Its mission is to build great learning tools for every student on the planet. Originally created by high school sophomore Andrew Sutherland to study high school French vocabulary. Over 20 million unique visitors per month, from grade school to grad school, study a wide range of subjects using Quizlet's web and mobile learning tools and games.",https://www.linkedin.com/company/807920?trk=prof-exp-company-name,Unicorn,https://twitter.com/quizlet,https://facebook.com/quizlet,"1,503"
GoNoodle,https://www.crunchbase.com/organization/gonoodle,https://www.gonoodle.com/,"Education, Internet, Media and Entertainment","Education, Internet Services, Media and Entertainment","GoNoodle gets kids moving to be their smartest, strongest, bravest, silliest, bestest selves.","Currently, 14 million kids play GoNoodle each month. GoNoodle gets kids moving to be their smartest, strongest, bravest, silliest, bestest selves. Short, interactive movement videos make it simple and fun to incorporate movement into every part of the day with dancing, stretching, running and even mindfulness activities. At school, teachers use GoNoodle to keep students energized, engaged, and active inside the classroom. At home, GoNoodle turns screen time into active time, so families can have fun and get moving together. GoNoodle launched in 2013.",https://www.linkedin.com/company/gonoodle,,https://twitter.com/GoNoodle,https://www.facebook.com/GoNoodleGames/,"1,511"
Course Hero,https://www.crunchbase.com/organization/coursehero,https://www.coursehero.com,"Crowdsourcing, E-Learning, EdTech, Education, Internet, Subscription Service","Education, Internet Services, Other, Software","Course Hero is an online learning platform with study resources that help students feel confident and prepared, from day one to graduation.","Course Hero is an online learning platform with study resources that help students feel confident and prepared, from day one to graduation. The company provides a free and subscription online learning platform that empowers students and educators to succeed through unlocked study tools, documents, and resources. It also offers free and subscription membership that includes access to practice problems, study guides, videos, class notes, and step-by-step explanations for every subject that students study, from economics to literature, biology to history, and accounting to psychology. In 2016, Andrew Grauer, Gregor Carrigan, and Jared Grauer established Course Hero in Redwood City, California.",https://www.linkedin.com/company/coursehero,Unicorn,https://twitter.com/CourseHero,https://www.facebook.com/coursehero,"1,542"
Codecademy,https://www.crunchbase.com/organization/codecademy,http://www.codecademy.com,"Education, Mobile, Training","Education, Mobile",Codecademy is a free web- and mobile-based platform that teaches employable digital skills to millions of users worldwide.,"Codecademy helps millions of learners around the world obtain the skills they need to succeed in today’s digital world -- all in a way that’s fun, free, and accessible anywhere.  Codecademy is different from any other learning experience; it’s designed to complement the way people want to learn in the twenty-first century. Through Codecademy's web- and mobile-based platforms, learners discover concepts such as HTML/CSS, Javascript/jQuery, Python, Ruby, PHP, and APIs by actually building things and getting constant feedback from peers.  Codecademy is an entirely new, networked approach to learning in which you interact with students across the globe, build amazing projects, and - most importantly - apply your skills to improve your life.",http://www.linkedin.com/company/codecademy,,http://twitter.com/Codecademy,http://www.facebook.com/codecademy,"1,581"
Lambda School,https://www.crunchbase.com/organization/lambda-school,https://lambdaschool.com/,"E-Learning, EdTech, Education, Higher Education","Education, Software",Lambda School trains people to be software engineers for free in exchange for a share of future income.,"Lambda School is a combination of a school and an investment fund. Lambda School's mission is to find untapped or underutilized talent, and train that talent for the most in-demand jobs in the world. Lambda School is pioneering a new model of higher education in which the school invests in the students, instead of the other way around.",https://www.linkedin.com/school/17968067/,,https://twitter.com/lambdaschool,https://www.facebook.com/LambdaSchoolOnline/,"1,662"
Hone,https://www.crunchbase.com/organization/honehq,https://www.honehq.com/,"Corporate Training, Education, Fitness, Internet, SaaS, Software, Sports","Education, Internet Services, Software, Sports",Hone is a next-generation platform for live online leadership and management training.,"Hone solves manager and soft-skills training for modern, distributed teams. As the first ever platform for synchronous, online instructor-led training programs, Hone allows organizations of all sizes to easily source, manage and deliver best-in-class live online group training and measure the impact on their organization.",https://www.linkedin.com/company/honehq/,,https://twitter.com/honehq,https://www.facebook.com/honehq,"1,747"
Instructure,https://www.crunchbase.com/organization/instructure,http://www.instructure.com,"Cloud Management, EdTech, Education, Enterprise Software, Software","Education, Information Technology, Internet Services, Software",Instructure is a learning technology company and the creator of the Canvas learning management system for K-12 and higher education.,"Instructure is a technology company that is focused on providing cloud-based learning management software for educational institutions, companies and other organizations. Founded in 2008 by two computer science graduate students, Instructure set out to disrupt the complex legacy learning management system industry by creating Canvas - a simple, yet powerful software system that sets a new standard for open technology in education. Instructure’s Canvas Network has offered more than 300 courses from 150 institutional partners to date and was designed using feedback from instructional design groups at several universities including USC, UNLV, Berkeley, etc. A heavy emphasis was put on usability, with an effort to streamline the most common use cases for a learning management system. Canvas offers integration with other web services and provides simplified tools for grading and assessment. Instructure also works closely with Unizin, a new consortium led by four major institutions, including Indiana University, Colorado State University, University of Florida and University of Michigan. This consortium uses Canvas as its foundational platform for improving student outcomes. Instructure Inc. is based in Salt Lake City, Utah where the software is developed and supported on the east bench of the Wasatch Mountains.",https://www.linkedin.com/company/instructure-inc-,,http://twitter.com/instructure,http://www.facebook.com/instructure,"1,753"
Dude Solutions,https://www.crunchbase.com/organization/dude-solutions,http://dudesolutions.com,"Education, Government, Health Care, Information Technology, Manufacturing, SaaS, Software","Education, Government and Military, Health Care, Information Technology, Manufacturing, Software","Dude Solutions is the leading provider of SaaS operations software for education, government, healthcare and membership-based organizations.","Dude Solutions is a leading software-as-a-service (SaaS) provider of operations management solutions to education, government, healthcare, senior living, manufacturing and membership-based organizations. For nearly two decades, Dude Solutions has inspired clients to create better work and better lives. We combine innovative, user-friendly technology with the world’s smartest operations engine, empowering operations leaders to transform the most important places in our lives. Today, more than 12,000 organizations use our award-winning software to manage maintenance, assets, energy, safety, IT, events and more. For more information, visit dudesolutions.com.",https://www.linkedin.com/company/dude-solutions,,https://www.twitter.com/dudesolutions,https://www.facebook.com/dudesolutions,"1,812"
